id;label;text
1;POS;Genial 
2;POS;Es ideal para ir de chico malote. Yo como no me como un rosco no le puedo dar ese uso pero lo llevo casi a diario para días sin excesivo frío. El estilo es muy chulo.
3;POS;A mí hijo le gusta
4;NEG;Producto asiático que para nada es la talla que dice, es como 2 o 3 tallas menos.
5;NEG;La empresa no es sería
6;POS;Chubasquero ligero, perfecto para entretiempo. Excelente para su precio.
7;POS;Perfecta, aunque talla poco, elegir una talla más de lo habitual.
8;POS;Buena calidad y muy suave al tacto, de al pego y parece ante, aunque al ser sintético habrá que tener más cuidado. Muy buena compra para completar el armario.
9;POS;Mido 1,80 y peso 80 kg., la talla L me queda perfecta.
10;POS;El material tiene buena pinta y queda bastante bien.
11;POS;Aconsejable 100%
12;POS;Una chaqueta que queda muy bien, materiales corrector y por el precio de 30e buena compra. Lo unico quiza un pelin justa de tallaje. Mido 1.72 complexion atletica 72kg y la M me va algo justa si estiro los brazos se me ajusta mucho la espalda. Habria estado mejor la L pero queda muy entallada. Para entretiempo creo es perfecta.
13;POS;Es una increíble chaqueta.
14;POS;Su precio es lo asombroso
15;NEG;Lastima que al ser un diseño entallado mi talla habitual (M) me quedaba excesivamente ajustada de hombros limitando movimientos tanto abrochada como abierta y tuve que devolverla. Tal vez sea más afortunado en proximas compras.
16;POS;La prenda y el envio correctos y ágiles.
17;POS;Está perfecta por el precio. Parece cuero, buen material. Costuras bien. Talla M, perfecta, entallada, se ajusta bien.
18;POS;Compre esta prenda para regalo de Reyes, la taya es algo justa, tirando a pequeña, no es cuero falso que se resquebraja al poco tiempo, es parecido al ante . Da el pego, y además barata. Se ve bien confeccionada y cuidada. Ideal para vestir informal, con unos vaqueros y una camisa va que chuta....,-). Espero que mi comentario te ayude. Un saludo a todos.
19;NEU;Buscaba una chaqueta que me protegiera un poco del frío, pero que tampoco me diera mucho calor y que fuera bonita.
20;POS;Esta chaqueta que simula muy bien a una de cuero, cumple con la doble función que buscaba: protege un poco del frío y es bonita. Porque tiene un aspecto moderno y juvenil.
21;NEU;La cogí de la talla M, porque soy de complexión delgada, en concreto mido 1.80 metros y peso 70kgs y mi talla suele ser la M en ropa de camisetas. Tengo 41 años.
22;POS;Me la he puesto varias veces y siempre me han dicho que qué bonita es. Estoy muy contento con ella.
23;NEU;La chaqueta está bastante bien terminada, pero la talla es muy justa....menos mal que he pedido una XL, está equivale a la L que normalmente me va bien. Por lo demás la chaqueta está muy bien. Hay que tener en cuenta que es de entretiempo no abriga mucho.
24;POS;Quisiera comprar una igual en marrón
25;POS;Chaqueta de buena calidad, tallaje correcto
26;POS;Bien terminado… cumple con mi espectativa
27;NEU;No es una cazadora de cuero, aunque la imitación está bien conseguida. Tiene un estilo a las cazadoras de los moteros, es lo que más me gusto , el diseño. Pero le he encontrado algunos fallos. Es un poco estrecha de cuerpo, sobre todo en las mangas, para ser una cazadora XXL large, queda un pelín estrecha, de largo está bien. Y he echado en falta que los puños de las mangas no tengan un botón o un clip, como si tiene para el ajuste de la cintura, para poder tener más holgura y movilidad en las manos.
28;POS;Por el precio que pagué (48 euros) creo que es una buena compra.
29;NEU;La acabo de comprar y aún no la he estrenado. El mejor consejo es que cuidado con la talla, yo utilizo normalmente una L y la que me queda bien es la XXL. Viendo los comentarios y la guía de talla de pecho me decidí por comprar la XL. De pecho y cintura me quedaban ceñidas, podía cerrar la cremallera, aceptable, pero me impedía hacer ciertos movimientos con los brazos, tenía una sensación poco cómoda. Empecé el proceso de devolución y me pedí la XXL, que es la que finalmente me queda bien.
30;POS;Excelente es lo que yo buscaba
31;POS;Talla M y quedó muy bien.
32;POS;La chaqueta está muy chula y la talla corresponde a la que uso. tuve problemas con la entrega que solucionó el vendedor muy rápida y cordialmente volveré a comprar seguro si no uviese pasado nada con el reparto también habría llegado antes de tiempo de todas formas sólo se atraso dos días muy contento gracias
33;NEU;Me compre lá L por recomendacion de Amazon,Pero resulta que és muy justa,no lá câmbio porqe lá voy a usar para primavera verano,y lá usare para aquellas noches En lãs que vás a salir hasta tarde y se tornan frescas,solo lá voy a usar con camiseta manga corta,si tuviera que usar um Jersey ya no me sirve.vivo En una zona fresca de noche en verano. Mido 1,70cm 72 kg
34;POS;Muy bonita pero muy pegada en los hombros que limita el movimiento, eso con una talla más, así que recomiendo una o dos tallas más para estar más cómodo
35;POS;Era par un regalo y le ha encantado. Queda un pelín justa de talla, tiene el mismo modelo en piel en negro y le queda mas grande, pero bien. Yo diría que es mas de entre tiempo , pero es de buena calidad. veremos los resultado con el uso .
36;POS;Una cazadora que no abriga mucho pero queda muy bien ajustada,si te gusta ir más suelto recomiendo una talla más,es perfecta y viste mucho, recomendable su compra,en Amazon es calidad precio la misma que en la tienda.
37;POS;La talla es un poco justa en comparación con otros productos de la misma marca y talla. Pero el producto es bueno y bonito.
38;POS;Muy contento, buena cazadora, si lleval L, hay q coger XL
39;NEU;La talla es más pequeña de lo habitual, suelo usar una M para este tipo de prendas pero me queda demasiado ceñida. La pega que puede tener a parte de ser muy fina, es que no tiene cremalleras en las mangas por lo que es tan estrecho que los relojes no entran y se queda por dentro se la chaqueta.
